title,link,summary,image_url,publication_time,category,url_source,scraped_at
"Cara Menghitung Nilai Gelang Emas 18 Karat dari Berat Gram dengan Akurat, Sebuah Panduan Lengkap",https://www.liputan6.com/citizen6/read/6156790/cara-menghitung-nilai-gelang-emas-18-karat-dari-berat-gram-dengan-akurat-sebuah-panduan-lengkap,Terbatasnya pasokan seiring gangguan produksi di sejumlah tambang besar dunia serta fluktuasi nilai tukar turut memperkuat harga komoditas logam.,https://cdn0-production-images-kly.akamaized.net/dIgTeOyxn3APmk-DslUM5gISjWE=/640x358/smart/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/3560845/original/004881700_1630676729-ilustrasi_tembaganatalia-y-bMybTSV7RFY-unsplash.jpg,14 Sep 2025 16:33,Bisnis,https://www.liputan6.com/bisnis,2025-09-14T18:16:29.402580
Harga Emas Pegadaian Hari Ini 14 September 2025: Antam dan Galeri24 Melejit,https://www.liputan6.com/bisnis/read/6158760/harga-emas-pegadaian-hari-ini-14-september-2025-antam-dan-galeri24-melejit,Terbatasnya pasokan seiring gangguan produksi di sejumlah tambang besar dunia serta fluktuasi nilai tukar turut memperkuat harga komoditas logam.,https://cdn0-production-images-kly.akamaized.net/dIgTeOyxn3APmk-DslUM5gISjWE=/640x358/smart/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/3560845/original/004881700_1630676729-ilustrasi_tembaganatalia-y-bMybTSV7RFY-unsplash.jpg,14 Sep 2025 16:33,Bisnis,https://www.liputan6.com/bisnis,2025-09-14T18:16:29.402580
Berapa Estimasi Harga Jual Kembali Gelang Emas 24 Karat per Gram? Ini Panduannya,https://www.liputan6.com/citizen6/read/6156758/berapa-estimasi-harga-jual-kembali-gelang-emas-24-karat-per-gram-ini-panduannya,Terbatasnya pasokan seiring gangguan produksi di sejumlah tambang besar dunia serta fluktuasi nilai tukar turut memperkuat harga komoditas logam.,https://cdn0-production-images-kly.akamaized.net/dIgTeOyxn3APmk-DslUM5gISjWE=/640x358/smart/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/3560845/original/004881700_1630676729-ilustrasi_tembaganatalia-y-bMybTSV7RFY-unsplash.jpg,14 Sep 2025 16:33,Bisnis,https://www.liputan6.com/bisnis,2025-09-14T18:16:29.402580
"Harga Emas Hari Ini: Update Antam, Pegadaian, UBS, Galeri24 dan Proyeksi Global Terkini",https://www.liputan6.com/bisnis/read/6153261/harga-emas-hari-ini-update-antam-pegadaian-ubs-galeri24-dan-proyeksi-global-terkini,Terbatasnya pasokan seiring gangguan produksi di sejumlah tambang besar dunia serta fluktuasi nilai tukar turut memperkuat harga komoditas logam.,https://cdn0-production-images-kly.akamaized.net/dIgTeOyxn3APmk-DslUM5gISjWE=/640x358/smart/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/3560845/original/004881700_1630676729-ilustrasi_tembaganatalia-y-bMybTSV7RFY-unsplash.jpg,14 Sep 2025 16:33,Bisnis,https://www.liputan6.com/bisnis,2025-09-14T18:16:29.402580
"Dari Gudang ke Pelosok Negeri, Distribusi Vaksin hingga Pakan ke Peternak Makin Lancar",https://www.liputan6.com/bisnis/read/6159010/dari-gudang-ke-pelosok-negeri-distribusi-vaksin-hingga-pakan-ke-peternak-makin-lancar,Tidak ada ringkasan,https://cdn-production-assets-kly.akamaized.net/assets/images/blank.png,14 Sep 2025 17:00,Bisnis,https://www.liputan6.com/bisnis,2025-09-14T18:16:29.402580
Dari Literasi Keuangan hingga Ketahanan Pangan: Perjalanan DBS Foundation Dukung Masyaraka...,https://www.liputan6.com/bisnis/read/6158850/dari-literasi-keuangan-hingga-ketahanan-pangan-perjalanan-dbs-foundation-dukung-masyarakat-rentan,Tidak ada ringkasan,https://cdn-production-assets-kly.akamaized.net/assets/images/blank.png,14 Sep 2025 12:06,Bisnis,https://www.liputan6.com/bisnis,2025-09-14T18:16:29.402580
"Modal Asing Rp 14,24 Triliun Hengkang dari Indonesia",https://www.liputan6.com/bisnis/read/6158793/modal-asing-rp-1424-triliun-hengkang-dari-indonesia,Tidak ada ringkasan,https://cdn-production-assets-kly.akamaized.net/assets/images/blank.png,14 Sep 2025 10:10,Bisnis,https://www.liputan6.com/bisnis,2025-09-14T18:16:29.402580
"LPPOM Raih GIFA Award 2025, Indonesia Kian Diperhitungkan di Industri Halal Global",https://www.liputan6.com/bisnis/read/6158749/lppom-raih-gifa-award-2025-indonesia-kian-diperhitungkan-di-industri-halal-global,Tidak ada ringkasan,https://cdn-production-assets-kly.akamaized.net/assets/images/blank.png,14 Sep 2025 09:20,Bisnis,https://www.liputan6.com/bisnis,2025-09-14T18:16:29.402580
Top 3: Menkeu Purbaya Tetapkan Tenor dan Bunga untuk Rp 200 Triliun Uang Negara di 5 Bank,https://www.liputan6.com/bisnis/read/6158659/top-3-menkeu-purbaya-tetapkan-tenor-dan-bunga-untuk-rp-200-triliun-uang-negara-di-5-bank,Tidak ada ringkasan,https://cdn-production-assets-kly.akamaized.net/assets/images/blank.png,14 Sep 2025 08:00,Bisnis,https://www.liputan6.com/bisnis,2025-09-14T18:16:29.402580
"BSU Ketenagakerjaan 2025: Tujuan, Syarat, hingga Cara Cek Status Penerima",https://www.liputan6.com/bisnis/read/6158733/bsu-ketenagakerjaan-2025-tujuan-syarat-hingga-cara-cek-status-penerima,Tidak ada ringkasan,https://cdn-production-assets-kly.akamaized.net/assets/images/blank.png,14 Sep 2025 07:03,Bisnis,https://www.liputan6.com/bisnis,2025-09-14T18:16:29.402580
